wavelength,power,intensity
315.46,0.02,1.25E-44
315.672,-0.15,-9.41E-44
315.884,0.22,1.38E-43
316.097,-0.19,-1.19E-43
316.309,-0.11,-6.92E-44
316.521,0.1,6.29E-44
316.733,0.03,1.89E-44
316.946,0.01,6.30E-45
317.158,0.15,9.46E-44
317.37,-0.2,-1.26E-43
317.582,-0.45,-2.84E-43
317.794,-0.03,-1.90E-44
318.007,-0.1,-6.32E-44
318.219,-0.03,-1.90E-44
318.431,0.09,5.70E-44
318.643,0.04,2.53E-44
318.855,0,0
319.067,-0.23,-1.46E-43
319.279,-0.14,-8.89E-44
319.491,-0.02,-1.27E-44
319.704,-0.01,-6.36E-45
319.916,-0.14,-8.90E-44
320.128,-0.42,-2.67E-43
320.34,-0.03,-1.91E-44
320.552,0.02,1.27E-44
320.764,0.01,6.38E-45
320.976,0.09,5.74E-44
321.188,-0.15,-9.58E-44
321.4,-0.01,-6.39E-45
321.612,-0.17,-1.09E-43
321.824,0.23,1.47E-43
322.035,0.01,6.40E-45
322.247,0.18,1.15E-43
322.459,0.3,1.92E-43
322.671,-0.15,-9.62E-44
322.883,-0.04,-2.57E-44
323.095,-0.11,-7.07E-44
323.307,0.13,8.36E-44
323.519,-0.33,-2.12E-43
323.73,-0.02,-1.29E-44
323.942,-0.1,-6.44E-44
324.154,-0.18,-1.16E-43
324.366,0.02,1.29E-44
324.577,0.12,7.74E-44
324.789,-0.41,-2.65E-43
325.001,0.02,1.29E-44
325.213,-0.13,-8.41E-44
325.424,-0.03,-1.94E-44
325.636,-0.09,-5.83E-44
325.848,0.01,6.48E-45
326.06,0.19,1.23E-43
326.271,-0.4,-2.59E-43
326.483,-0.17,-1.10E-43
326.694,0.03,1.95E-44
326.906,0.09,5.85E-44
327.118,-0.3,-1.95E-43
327.329,0.07,4.56E-44
327.541,0.03,1.95E-44
327.752,-0.17,-1.11E-43
327.964,-0.14,-9.13E-44
328.176,0,0
328.387,-0.42,-2.74E-43
328.599,-0.14,-9.15E-44
328.81,-0.18,-1.18E-43
329.022,0.01,6.54E-45
329.233,-0.08,-5.24E-44
329.445,-0.65,-4.26E-43
329.656,-0.12,-7.86E-44
329.867,-0.11,-7.21E-44
330.079,-0.38,-2.49E-43
330.29,-0.18,-1.18E-43
330.502,-0.23,-1.51E-43
330.713,-0.01,-6.57E-45
330.924,-0.03,-1.97E-44
331.136,-0.33,-2.17E-43
331.347,-0.29,-1.91E-43
331.559,0.06,3.95E-44
331.77,0.03,1.98E-44
331.981,-0.3,-1.98E-43
332.192,-0.05,-3.30E-44
332.404,-0.34,-2.25E-43
332.615,0.06,3.97E-44
332.826,-0.12,-7.94E-44
