wlen,transmission
323.88046,0.198796216
324.07463,0.200080834
324.2688,0.201354439
324.46297,0.202614293
324.65714,0.203855192
324.85131,0.20506668
325.04548,0.206236146
325.23965,0.207357668
325.43382,0.208436632
325.62799,0.209480369
325.82216,0.210493054
326.01633,0.211475175
326.2105,0.212428337
326.40467,0.213360563
326.59884,0.214279955
326.79301,0.215191635
326.98718,0.216098326
327.18135,0.217003737
327.37552,0.217916532
327.56969,0.218842836
327.76386,0.219780875
327.95803,0.220721433
328.1522,0.221653503
328.34637,0.222573827
328.54054,0.223486942
328.73471,0.22440314
328.92888,0.225338355
329.12305,0.226314449
329.31722,0.227360237
329.51139,0.228504
329.70556,0.229763106
329.89973,0.231138545
330.0939,0.232614221
330.28807,0.234162268
330.48224,0.235746236
330.67641,0.237321085
330.87058,0.238837257
331.06475,0.240247659
331.25892,0.241517442
331.45309,0.242630384
331.64726,0.243587286
331.84143,0.244403212
332.0356,0.245103902
332.22977,0.24572242
332.42394,0.246294462
332.61811,0.246850183
332.81228,0.247409309
333.00645,0.247980067
333.20062,0.24856177
333.39479,0.249149334
333.58896,0.249735092
333.78313,0.250311664
333.9773,0.250875309
334.17147,0.251428769
334.36564,0.25198263
334.55981,0.252551638
334.75398,0.253150116
334.94815,0.253788372
335.14232,0.254470678
335.33649,0.255195459
335.53066,0.255955075
335.72483,0.256736838
335.919,0.25752598
336.11317,0.258309437
336.30734,0.259079736
336.50151,0.259835733
336.69568,0.260580702
336.88985,0.261320105
337.08402,0.262059535
337.27819,0.262803803
337.47236,0.263555773
337.66653,0.264314968
337.8607,0.265078104
338.05487,0.265840858
338.24904,0.266600363
338.44321,0.267356435
338.63738,0.268110038
338.83155,0.268861669
339.02572,0.269610089
339.21989,0.270352144
339.41406,0.27108332
339.60823,0.271797391
339.8024,0.272487444
339.99657,0.273147923
340.19074,0.273777013
340.38491,0.274378265
340.57908,0.274959248
340.77325,0.275529324
340.96742,0.276097415
341.16159,0.276670292
341.35576,0.277251806
341.54993,0.277842336
341.7441,0.278439258
341.93827,0.279038374
342.13244,0.279635675
342.32661,0.28022891
342.52078,0.280817918
342.71495,0.28140405
342.90912,0.281989308
343.10329,0.282575491
343.29746,0.283163762
343.49163,0.28375416
343.6858,0.284345357
343.87997,0.284935286
344.07414,0.285522263
344.26831,0.286106323
344.46248,0.286689699
344.65665,0.28727611
344.85082,0.287869966
345.04499,0.288475598
345.23916,0.289096816
345.43333,0.289736428
345.6275,0.290395184
345.82167,0.291071505
346.01584,0.29176195
346.21001,0.292462351
346.40418,0.29316911
346.59835,0.293879185
346.79252,0.294590025
346.98669,0.295299657
347.18086,0.2960071
347.37503,0.296713007
347.5692,0.297418877
347.76337,0.298126145
347.95754,0.298835609
348.15171,0.299547268
348.34588,0.300260681
348.54005,0.300974012
348.73422,0.301682962
348.92839,0.302380579
349.12256,0.303058118
349.31673,0.30370714
349.5109,0.30432071
349.70507,0.304893916
349.89924,0.305424739
350.09341,0.305914907
350.28758,0.30637066
350.48175,0.306801697
350.67592,0.307218608
350.87009,0.307630839
351.06426,0.30804539
351.25843,0.308466605
351.4526,0.308896133
351.64677,0.309332657
351.84094,0.309772781
352.03511,0.310212563
352.22928,0.310649269
352.42345,0.311082372
352.61762,0.311512781
352.81179,0.31194199
353.00596,0.312371373
353.20013,0.312801904
353.3943,0.313234164
353.58847,0.313667647
353.78264,0.314100837
353.97681,0.314532009
354.17098,0.314960402
354.36515,0.315387273
354.55932,0.315815374
354.75349,0.31624805
354.94766,0.316688449
355.14183,0.317138968
355.336,0.317601159
355.53017,0.318075103
355.72434,0.318559078
355.91851,0.31905003
356.11268,0.31954454
356.30685,0.320040121
356.50102,0.32053556
356.69519,0.321030459
356.88936,0.321524838
357.08353,0.322018859
357.2777,0.322512958
357.47187,0.323007679
357.66604,0.323503106
357.86021,0.323998799
358.05438,0.324494083
358.24855,0.324988659
358.44272,0.325482927
358.63689,0.325977531
358.83106,0.326472911
359.02523,0.326969016
359.2194,0.327465345
359.41357,0.327961287
359.60774,0.328456328
359.80191,0.328950305
359.99608,0.329443568
360.19025,0.32993693
360.38442,0.330431342
360.57859,0.330927264
360.77276,0.33142392
360.96693,0.33191875
361.1611,0.33240732
361.35527,0.33288386
361.54944,0.333342381
361.74361,0.33377804
361.93778,0.334188387
362.13195,0.334574126
362.32612,0.334939028
362.52029,0.335289125
362.71446,0.335631431
362.90863,0.335972466
363.1028,0.336316941
363.29697,0.336666872
363.49114,0.337021532
363.68531,0.337378396
363.87948,0.337734591
364.07365,0.338088291
364.26782,0.338439469
364.46199,0.338789766
364.65616,0.339141723
364.85033,0.339497553
365.0445,0.339857908
365.23867,0.340221098
365.43284,0.340583193
365.62701,0.340939276
365.82118,0.341285443
366.01535,0.341620856
366.20952,0.341949063
366.40369,0.342278028
366.59786,0.342619098
366.79203,0.34298492
366.9862,0.343386825
367.18037,0.343832351
367.37454,0.344323695
367.56871,0.344858176
367.76288,0.345429885
367.95705,0.346031667
368.15122,0.346656783
368.34539,0.347299758
368.53956,0.347956701
368.73373,0.348624593
368.9279,0.349299958
369.12207,0.349977868
369.31624,0.350652067
369.51041,0.351316468
369.70458,0.35196721
369.89875,0.352604477
370.09292,0.35323334
370.28709,0.3538631
370.48126,0.354504673
370.67543,0.355166358
370.8696,0.355849559
371.06377,0.356545991
371.25794,0.357237798
371.45211,0.357900572
371.64628,0.358508007
371.84045,0.359037782
372.03462,0.359477182
372.22879,0.359827007
372.42296,0.360101944
372.61713,0.360326282
372.8113,0.360527698
373.00547,0.360730842
373.19964,0.360952429
373.39381,0.361198848
373.58798,0.361466109
373.78215,0.361743144
373.97632,0.362017154
374.17049,0.362279182
374.36466,0.362528087
374.55883,0.36277098
374.753,0.363021095
374.94717,0.363294082
375.14134,0.363603831
375.33551,0.363959092
375.52968,0.364361288
375.72385,0.364804546
375.91802,0.365277896
376.11219,0.365768655
376.30636,0.366266066
376.50053,0.366763395
376.6947,0.367258104
376.88887,0.367750848
377.08304,0.368243784
377.27721,0.368739106
377.47138,0.369237473
377.66555,0.369736557
377.85972,0.370231072
378.05389,0.37071404
378.24806,0.371179039
378.44223,0.371621955
378.6364,0.372040912
378.83057,0.372436045
379.02474,0.372809238
379.21891,0.373164163
379.41308,0.373506108
379.60725,0.373840391
379.80142,0.37417134
379.99559,0.374501975
380.18976,0.374834343
380.38393,0.37517013
380.5781,0.375509985
380.77227,0.375853154
380.96644,0.376197745
381.16061,0.376541571
381.35478,0.376883403
381.54895,0.377222922
381.74312,0.377560348
381.93729,0.377896255
382.13146,0.378231531
382.32563,0.378567656
382.5198,0.378906017
382.71397,0.379247014
382.90814,0.37958984
383.10231,0.379932906
383.29648,0.380274999
383.49065,0.380615578
383.68482,0.380954265
383.87899,0.381290802
384.07316,0.381625353
384.26733,0.381959303
384.4615,0.382295118
384.65567,0.382634772
384.84984,0.382978829
385.04401,0.383326211
385.23818,0.383674948
385.43235,0.384022764
385.62652,0.384366045
385.82069,0.384699638
386.01486,0.385017514
386.20903,0.385314365
386.4032,0.385587232
386.59737,0.385834949
386.79154,0.386057692
386.98571,0.386256895
387.17988,0.386435556
387.37405,0.386598615
387.56822,0.386751577
387.76239,0.386899333
387.95656,0.387045682
388.15073,0.387193419
388.3449,0.387344815
388.53907,0.387501113
388.73324,0.387662081
388.92741,0.38782611
389.12158,0.387990751
389.31575,0.388153655
389.50992,0.388313022
389.70409,0.388467866
389.89826,0.388618419
390.09243,0.388766356
390.2866,0.388914685
390.48077,0.389066841
390.67494,0.389225344
390.86911,0.389390794
391.06328,0.389561402
391.25745,0.389733246
391.45162,0.389901102
391.64579,0.390059624
391.83996,0.390204769
392.03413,0.390334918
392.2283,0.390451266
392.42247,0.390557222
